Bib	Wave	Team	Start	End	Num Laps	Laps Started																
91	3	M40S	6:19:43	9:08:32	4	4	6:19:43	7:02:48	7:02:48	7:43:20	7:43:20	8:24:48	8:24:49	9:08:32								
797	3	M40S	6:19:35	9:29:12	4	4	6:19:35	7:02:27	7:02:27	7:43:30	7:43:30	8:36:10	8:36:10	9:29:12								
501	4	FSUB20	6:22:37	13:53:07	4	4	6:22:37	7:03:09	7:03:09	7:43:57	7:43:57	8:27:36	8:27:48	13:53:07								
767	3	M40S	6:19:33	9:10:31	4	4	6:19:33	7:02:33	7:02:33	7:44:00	7:44:00	8:25:57	8:25:57	9:10:31								
527	3	M40S	6:19:32	9:27:25	4	4	6:19:32	7:02:25	7:02:25	7:44:11	7:44:11	8:30:29	8:30:36	9:27:25								
641	1	M30S	6:14:39	9:21:40	4	4	6:14:39	6:59:14	6:59:14	7:45:16	7:45:16	8:33:17	8:33:17	9:21:40								
95	4	MSUB20	6:22:42	9:19:36	4	4	6:22:42	7:03:27	7:03:27	7:45:19	7:45:19	8:30:17	8:30:18	9:19:36								
692	3	M40S	6:19:34	9:21:18	4	4	6:19:34	7:02:51	7:02:51	7:45:33	7:45:33	8:33:06	8:33:07	9:21:18								
821	1	M30S	6:14:29	9:52:43	4	4	6:14:30	6:58:30	6:58:30	7:45:52	7:45:52	8:41:57	8:41:57	9:52:43								
538	2	M20S	6:17:28	9:21:49	4	4	6:17:28	7:02:52	7:02:52	7:45:54	7:45:55	8:31:50	8:32:12	9:21:49								
92	3	M40S	6:19:41	9:07:50	4	4	6:19:41	7:02:47	7:02:47	7:46:03	7:46:03	8:27:20	8:27:21	9:07:50								
724	3	M40S	6:21:52	9:35:44	4	4	6:21:52	7:04:49	7:04:50	7:46:22	7:46:23	8:33:34	8:33:35	9:35:44								
77	4	MSUB20	6:22:44	9:14:12	4	4	6:22:44	7:05:17	7:05:17	7:46:42	7:46:42	8:29:16	8:29:17	9:14:12								
691	3	M40S	6:19:41	9:21:58	4	4	6:19:41	7:03:05	7:03:05	7:46:48	7:46:48	8:34:01	8:34:02	9:21:58								
793	1	M30S	6:14:38	9:37:11	4	4	6:14:37	7:00:32	7:00:32	7:47:10	7:47:10	8:41:30	8:41:31	9:37:11								
90	3	M40S	6:20:01	9:29:19	4	4	6:20:01	7:04:37	7:04:37	7:47:15	7:47:15	8:36:06	8:36:06	9:29:19								
775	1	M30S	6:14:48	9:19:29	4	4	6:14:47	7:02:12	7:02:12	7:47:21	7:47:21	8:33:36	8:33:36	9:19:29								
547	3	M40S	6:19:36	9:24:36	4	4	6:19:36	7:02:10	7:02:11	7:47:45	7:47:46	8:34:56	8:34:56	9:24:36								
